date,cycling,reading,coding,yoga,comments,month
01-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
02-01-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,January
03-01-2024,yes,yes,yes,yes,3km cycling-2h reading-2h coding-30min yoga,January
04-01-2024,yes,yes,yes,yes,1km cycling-2h reading-3h coding-30min yoga,January
05-01-2024,yes,yes,yes,yes,2km cycling-2h reading-3h coding-1h yoga,January
06-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
07-01-2024,yes,yes,yes,yes,2km cycling-2h reading-3h coding-30min yoga,January
08-01-2024,yes,yes,yes,yes,1km cycling-3h reading-3h coding-30min yoga,January
09-01-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,January
10-01-2024,yes,yes,,yes,2km cycling-2h reading-45min yoga,January
11-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
12-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
13-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
14-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
15-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
16-01-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,January
17-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
18-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
19-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
20-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
21-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
22-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
23-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
01-02-2024,yes,yes,yes,yes,1km cycling-4h reading-3h coding-45min yoga,February
02-02-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,February
03-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
04-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
05-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
06-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
07-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
08-02-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,February
09-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
10-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
11-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
12-02-2024,yes,yes,yes,,3km cycling-4h reading-3h coding,February
13-02-2024,yes,yes,yes,,3km cycling-4h reading-3h coding,February
14-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
15-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
01-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
